上位のページ,クリック数,表示回数,CTR,掲載順位
https://www.dearmanga.com/sci-fi/galaxy-express-999,0,6,0%,58.5
https://www.dearmanga.com/slice-of-life/aggretsuko,0,6,0%,66.33
https://www.dearmanga.com/action/dirty-pair,0,6,0%,71.33
https://www.dearmanga.com/sci-fi/choujin-locke,0,5,0%,4.6
https://www.dearmanga.com/slice-of-life/flower-of-life,0,5,0%,5
https://www.dearmanga.com/horror/blood-c,0,5,0%,5.2
https://www.dearmanga.com/action/peacock-king,0,5,0%,5.4
https://www.dearmanga.com/romance/peach-heaven,0,5,0%,5.6
https://www.dearmanga.com/slice-of-life/hozuki,0,5,0%,6
https://www.dearmanga.com/romance/living-game,0,5,0%,6.4
https://www.dearmanga.com/action/daigo-of-fire,0,5,0%,7.2
https://www.dearmanga.com/romance/strobe-edge,0,5,0%,7.4
https://www.dearmanga.com/sports/yakyuukyo-no-uta,0,5,0%,7.4
https://www.dearmanga.com/fantasy/tensura-nikki,0,5,0%,8.2
https://www.dearmanga.com/sci-fi/hyakuoku-no-hiru,0,5,0%,8.2
https://www.dearmanga.com/fantasy/triton-of-the-sea,0,5,0%,8.6
https://www.dearmanga.com/historical/prince-of-the-dawn,0,5,0%,8.6
https://www.dearmanga.com/slice-of-life/showa-history,0,5,0%,8.6
https://www.dearmanga.com/romance/gaba-kawa,0,5,0%,8.8
https://www.dearmanga.com/slice-of-life/wotakoi,0,5,0%,8.8
https://www.dearmanga.com/sports/sanpei-the-fisherman,0,5,0%,8.8
https://www.dearmanga.com/sports/attack-no-1,0,5,0%,9.2
https://www.dearmanga.com/fantasy/my-in-laws-are-obsessed,0,5,0%,9.4
https://www.dearmanga.com/action/bukko-no-taku,0,5,0%,9.6
https://www.dearmanga.com/fantasy/tower-of-god,0,5,0%,9.6
https://www.dearmanga.com/slice-of-life/akebi-sailor-uniform,0,5,0%,9.6
https://www.dearmanga.com/romance/nagatoro,0,5,0%,10.4
https://www.dearmanga.com/slice-of-life/zodiac-pi,0,5,0%,11.8
https://www.dearmanga.com/romance/mink,0,5,0%,12.6
https://www.dearmanga.com/romance/yamada-kun-seven-witches,0,5,0%,15
https://www.dearmanga.com/action/fist-of-the-blue-sky,0,5,0%,15.2
https://www.dearmanga.com/fantasy/mushoku-tensei,0,5,0%,15.2
https://www.dearmanga.com/romance/phantom-dream,0,5,0%,16
https://www.dearmanga.com/action/shura-no-toki,0,5,0%,16.4
https://www.dearmanga.com/slice-of-life/with-a-dog-and-a-cat,0,5,0%,17.2
https://www.dearmanga.com/romance/ao-no-hako,0,5,0%,18
https://www.dearmanga.com/action/attack-on-titan-lost-girls,0,5,0%,18.4
https://www.dearmanga.com/action/yuyu-hakusho,0,5,0%,18.6
https://www.dearmanga.com/slice-of-life/manga-michi,0,5,0%,19
https://www.dearmanga.com/horror/berserk,0,5,0%,21.2
https://www.dearmanga.com/slice-of-life/comic-girls,0,5,0%,22.4
https://www.dearmanga.com/action/3x3-eyes,0,5,0%,23.8
https://www.dearmanga.com/action/call-of-the-night,0,5,0%,27.6
